```
company_id,company_name,pipeline_stage,founder_archetype,sector,company_stage,cheque,lead,co_lead,deal_team
1,MaveHealth,Wired,,,,Core,Arpit Agarwal,Akhilesh,
2,Fenado AI,IC,,,,Core,Arpit Agarwal,Sumangal Vinjamuri,
3,Recepto,Showcase,,,,Core,Sanjay Nath,Sumangal Vinjamuri,
4,H2 Carbon Zero,Showcase,,,,Core,Arpit Agarwal,,
5,Rezolv,Showcase,,,,Tracking,Ashish Fafadia,Udayan Pandey,
6,MeantToBe,Wired,,,,Core,Karthik Reddy,Marmik Mankodi,
7,Hosted AI,IC,,,,Core,Sanjay Nath,Sumangal Vinjamuri,
8,PowerUp Money,Wired,,,,Core,Ashish Fafadia,Joseph Sebastian,
9,BeatXP,IC,,,,Core,Arpit Agarwal,Apurva Dixit,
10,Palonu,Showcase,,,,Tracking,Ashish Fafadia,Udayan Pandey,
11,Canfinis,Showcase,,,,Core,Arpit Agarwal,Akhilesh,
12,Mellen,Wired,,,,Core,Sajith Pai,,
13,Lucira,Wired,,,,Core,Karthik Reddy,Apurva Dixit,
14,Beyobo,Showcase,,,,Core,Ashish Fafadia,Udayan Pandey,
15,Edition,Showcase,,,,Core,"Karthik Reddy, Sajith Pai",Apurva Dixit,
16,Confido Health,Wired,,,,Core,Sanjay Nath,Sumangal Vinjamuri,
17,Cobalt,Showcase,,,,Core,Sanjay Nath,Sumangal Vinjamuri,
18,CoLuxe,Showcase,,,,Core,Karthik Reddy,Apurva Dixit,
19,Newmi,Showcase,,,,Core,Arpit Agarwal,Apurva Dixit,
20,Pronto,IC,,,,Core,Karthik Reddy,Apurva Dixit,
21,Grapevine; Round 1,IC,,,,Core,Sajith Pai,Marmik Mankodi,
22,iDO Devices,IC,,,,Core,Arpit Agarwal,Akhilesh,
23,Nivasa Finance,Wired,,,,Core,Ashish Fafadia,Udayan Pandey,
24,The Wedding Company,Showcase,,,,Core,"Karthik Reddy, Sajith Pai",Marmik Mankodi,
25,Broccoli AI,Showcase,,,,Core,Sanjay Nath,Sumangal Vinjamuri,
26,Ozi,Wired,,,,Core,Sajith Pai,,
27,Cactus,Showcase,,,,Tracking,Sanjay Nath,Sumangal Vinjamuri,
28,Glomopay,Showcase,,,,Core,Ashish Fafadia,Joseph Sebastian,
29,Aule Space,Showcase,,,,Tracking,"Sanjay Nath, Arpit Agarwal",Akhilesh,
30,Approval AI,Showcase,,,,Tracking,"Ashish Fafadia, Sanjay Nath",Udayan Pandey,
31,Sungreen H2,IC,,,,Core,Arpit Agarwal,,
32,BuildGuru,Showcase,,,,Core,Ashish Fafadia,,
33,Prorouting,Showcase,,,,Core,Karthik Reddy,Joseph Sebastian,
34,Handpickd,Showcase,,,,Core,Karthik Reddy,Apurva Dixit,
35,Chaicup,Showcase,,,,Core,Karthik Reddy,,
36,AI Verse,Showcase,,,,Core,Sajith Pai,Marmik Mankodi,
37,Anaira,Showcase,,,,Core,Ashish Fafadia,Udayan Pandey,
38,RapidxBio,Showcase,,,,Core,Arpit Agarwal,Akhilesh,
39,Tan90,Showcase,,,,Core,Arpit Agarwal,Akhilesh,
40,Segwise,Showcase,,,,Core,Sajith Pai,Marmik Mankodi,
```
